1	int	1
7	a	1
10	;	1
1	int	2
7	b	2
10	;	2
1	int	3
7	program	3
12	(	3
1	int	3
7	a	3
11	,	3
1	int	3
7	b	3
11	,	3
1	int	3
7	c	3
13	)	3
14	{	4
1	int	5
7	i	5
10	;	5
1	int	6
7	j	6
10	;	6
7	i	7
21	=	7
8	0	7
10	;	7
3	if	8
12	(	8
7	a	8
22	>	8
12	(	8
7	b	8
17	+	8
7	c	8
13	)	8
13	)	8
14	{	9
7	j	10
21	=	10
7	a	10
17	+	10
12	(	10
7	b	10
19	*	10
7	c	10
17	+	10
8	1	10
13	)	10
10	;	10
15	}	11
4	else	12
14	{	13
7	j	14
21	=	14
7	a	14
10	;	14
15	}	15
5	while	16
12	(	16
7	i	16
26	<=	16
8	100	16
13	)	16
14	{	17
7	i	18
21	=	18
7	j	18
19	*	18
8	2	18
10	;	18
7	j	19
21	=	19
7	i	19
10	;	19
15	}	20
6	return	21
7	i	21
10	;	21
15	}	22
1	int	23
7	demo	23
12	(	23
1	int	23
7	a	23
13	)	23
14	{	24
7	a	25
21	=	25
7	a	25
17	+	25
8	2	25
10	;	25
6	return	26
7	a	26
19	*	26
8	2	26
10	;	26
15	}	27
2	void	29
7	main	29
12	(	29
2	void	29
13	)	29
14	{	30
1	int	31
7	a	31
10	;	31
1	int	32
7	b	32
10	;	32
1	int	33
7	c	33
10	;	33
7	a	34
21	=	34
8	3	34
10	;	34
7	b	35
21	=	35
8	4	35
10	;	35
7	c	36
21	=	36
8	2	36
10	;	36
7	a	37
21	=	37
7	program	37
12	(	37
7	a	37
11	,	37
7	b	37
11	,	37
7	demo	37
12	(	37
7	c	37
13	)	37
13	)	37
10	;	37
6	return	38
10	;	38
15	}	39
