1	int	1
7	b	1
10	;	1
1	int	2
7	fun	2 
12	(	2
1	int	2
7	y	2
11	,	2
1	int	2
7	b	2
11	,	2
1	int	2
7	a	2
13	)	2
14	{	3
6	return	4
7	y	4
10	;	4
15	}	5
1	int	6
7	main	6
12	(	6
1	int	6
7	x	6
13	)	6
14	{	7
1	int	8
7	a	8
10	;	8
1	int	9
7	m	9
10	;	9
1	int	10
7	c	10
10	;	10
7	x	11
21	=	11
7	x	11
17	+	11
8	2	11
10	;	11
7	a	12
21	=	12
7	fun	12
12	(	12
7	m	12
11	,	12
7	c	12
11	,	12
7	x	12
13	)	12
10	;	12
7	c	14
21	=	14
8	0	14
10	;	14
5	while	15
12	(	15
7	c	15
23	<	15
8	3	15
13	)	15
14	{	16
7	b	18
21	=	18
8	1	18
10	;	18
7	c	19
21	=	19
7	c	19
18	-	19
7	b	19
10	;	19
15	}	20
6	return	22
7	x	22
19	*	22
8	2	22
10	;	22
15	}	23
